hmo_licence_reference,pcd,lat,long
HMOME/19/60145,NW4 4LD,51.5891,-0.2259
HMOM/19/59998,NW4 4RS,51.5863,-0.2322
HMOM/18/59890,N3 3SL,51.596,-0.2048
HMOM/19/60030,NW9 5WA,51.6017,-0.2533
HMOM/19/60987,N3 2BP,51.6018,-0.1902
HMOM/19/60987,N3 2BP,51.6018,-0.1902
HMOMA/19/60013,N20 0QA,51.6233,-0.1768
HMOM/19/61063,NW11 9DP,51.5735,-0.2095
HMOM/19/61070,NW11 0AS,51.588,-0.2018
HMOME/19/61091,EN4 9PE,51.6503,-0.1677
HMOME/19/61111,NW11 9LH,51.5801,-0.2135
HMOME/19/61128,N12 7DQ,51.6208,-0.1867
HMOME/19/61128,N12 7DQ,51.6208,-0.1867
HMOAA/18/59783,NW4 4LP,51.5928,-0.2304
HMOM/19/60034,N20 9LN,51.6333,-0.1762
HMOM/19/60528,NW4 4LD,51.5891,-0.2259
HMOME/19/61118,NW2 6QE,51.56,-0.2186
HMOME/19/60597,NW4 3ER,51.5802,-0.2356
HMOME/18/59919,NW4 4UY,51.5964,-0.2331
HMOME/19/61126,NW4 4JN,51.5919,-0.2322
HMOM/19/61185,N2 0NB,51.5905,-0.1704
HMOME/19/61035,NW11 8BD,51.5758,-0.203
HMOAA/18/59705,NW2 2PG,51.5598,-0.1979
HMOAA/19/60297,N3 3QT,51.5963,-0.1936
HMOM/19/61872,NW4 4TN,51.5999,-0.2349
HMOM/18/59370,NW2 2TP,51.5609,-0.1978
HMOAA/18/59732,HA8 8XD,51.6267,-0.2666
HMOME/19/61190,NW11 7HA,51.5677,-0.1834
HMOME/19/61191,NW11 7HA,51.5677,-0.1834
HMOAA/19/61212,NW4 3PS,51.577,-0.2339
HMOME/19/61213,NW4 2SA,51.5877,-0.2152
HMOM/18/59884,N3 3NE,51.5945,-0.1966
HMOME/19/61076,NW4 4PH,51.5814,-0.2363
HMOM/19/60375,NW11 9BY,51.5764,-0.2058
HMOME/18/59713,NW4 3HN,51.5741,-0.2304
HMOM/18/59787,EN5 5JJ,51.6494,-0.178
HMOAA/18/59662,N11 1BT,51.6206,-0.1372
HMOAA/20/62456,NW11 8DY,51.5718,-0.1961
HMOM/20/62976,NW11 8BH,51.5757,-0.201
HMOM/20/62978,NW11 8AL,51.5677,-0.1971
HMOAA/20/63000,N2 0SU,51.592,-0.1788
HMOAA/19/61651,N2 8DB,51.592,-0.167
HMOME/20/62418,NW2 1PL,51.5658,-0.2159
HMOME/20/62297,NW2 1EA,51.5674,-0.2118
HMOME/20/63074,NW11 9PP,51.5788,-0.2086
HMOME/19/61424,NW11 8DJ,51.5637,-0.1975
HMOAA/19/61592,NW2 1JH,51.5692,-0.21
HMOME/20/62371,N3 2SG,51.5986,-0.1881
HMOME/20/63268,N12 8DT,51.6124,-0.1798
HMOAA/19/61455,N2 9AL,51.6005,-0.1724
HMOME/19/61627,NW9 7AT,51.5746,-0.2384
HMOM/20/62827,NW4 3JR,51.5831,-0.2277
HMOAA/20/63124,N2 8BD,51.5904,-0.167
HMOAA/20/63303,NW11 9LD,51.5859,-0.2102
HMOAA/19/61371,N12 8RB,51.6233,-0.1779
HMOME/19/61709,NW4 3TR,51.5765,-0.2287
HMOM/20/62545,NW4 4NJ,51.5845,-0.2332
HMOM/20/62869,EN4 9PB,51.6492,-0.1664
HMOM/20/62877,NW4 1DL,51.5894,-0.2198
HMOM/19/61231,N3 2HL,51.5998,-0.1866
HMOME/20/63493,HA8 9AB,51.6099,-0.2764
HMOME/19/62093,NW11 8BJ,51.5747,-0.1998
HMOME/20/62836,HA8 9JG,51.61,-0.2687
HMOAA/20/62909,NW4 3SX,51.5804,-0.2371
HMOME/20/62919,NW11 9LJ,51.5788,-0.2149
HMOME/20/62672,NW2 1AR,51.5721,-0.2172
HMOM/20/62473,EN4 8TF,51.643,-0.165
HMOM/20/63130,NW11 9HX,51.5773,-0.2129
HMOAA/20/62773,NW9 5DJ,51.5991,-0.2511
HMOME/20/62977,NW4 1BT,51.5904,-0.2207
HMOM/19/61731,NW4 4NH,51.5854,-0.2322
HMOAA/19/61843,NW4 3YD,51.5828,-0.2283
